,account_access_security,billing_payment_dispute,complaint_poor_service,feedback_praise_resolution,flight_travel_disruption,order_delivery_issue,product_inquiry_availability,service_outage_connectivity,subscription_cancellation_refund,technical_hardware_software_bug
account_access_security,19,0,1,0,0,0,0,0,0,0
billing_payment_dispute,0,16,0,0,1,0,0,1,1,1
complaint_poor_service,0,0,18,0,0,2,0,0,0,0
feedback_praise_resolution,0,0,0,14,1,3,0,0,1,1
flight_travel_disruption,0,0,0,0,20,0,0,0,0,0
order_delivery_issue,0,2,0,0,0,16,1,0,1,0
product_inquiry_availability,0,0,0,0,0,1,19,0,0,0
service_outage_connectivity,0,0,0,0,0,0,0,20,0,0
subscription_cancellation_refund,1,2,1,0,0,1,0,0,15,0
technical_hardware_software_bug,0,0,0,0,0,1,0,0,0,19
